Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
b1BANK,Director,Patrick E. Mockler,Director,b1BANK,2023,President of Beverage Distributor,3488850
b1BANK,Director,David Montgomery,Director,b1BANK,2023,Insurance,3488850
b1BANK,Director,Arthur Price,Director,b1BANK,2023,President / CFO of Oil Company,3488850
b1BANK,Director,Aimee Quirk,Director,b1BANK,2023,SVP and Chief Corporate Development Officer for Ochsner Health and Chief Executive Officer of Oshsner Ventures,3488850
b1BANK,"Chief Financial Officer,Treasurer and Principal Financial Officer""""",Gregory Robertson,,b1BANK,2023,,3488850
b1BANK,Director,Kenneth Smith,Director,b1BANK,2023,Engineer,3488850
b1BANK,Executive Vice President and General Counsel,Saundra Strong,,b1BANK,2023,,3488850
b1BANK,Director,Keith Tillage,Director,b1BANK,2023,Construction,3488850
b1BANK,Director,Steve White,Director,b1BANK,2023,Executive Management,3488850
C1 BANK,Director,CBM Holdings Qualified Family LP,Director,,2015,Investor,2362074
C1 BANK,CEO,President & Director,Trevor Burgess,CEO,President & Director,2015,Investor
C1 BANK,,Oakland Investment LLC,,,,2015,Investor
C1 BANK,,Amazonite Limited Family Partnership,,,,2015,Investor
C1 BANK,Director,Brian D. Burghardt,Director,C1 Bank,2015,Investor,2362074
C1 BANK,Secretary & Director,Phillip L. Burghardt,Secretary & Director,C1 Bank,2015,Investor,2362074
C1 BANK,Director,Robert Glaser,Director,C1 Bank,2015,Investor,2362074
C1 BANK,Director,Neil Grossman,Director,C1 Bank,2015,Investor,2362074
C1 BANK,Director,Ryan L. Snyder,Director,C1 Bank,2015,Attorney,2362074
C1 BANK,EVP/ Chief Operating Officer,Rita Lowman,,,2015,,2362074
C1 BANK,Director,Duane Moore,Director,C1 Bank,2015,Investor,2362074
C1 BANK,EVP,Chief Human Capital Officer & General Counsel,Diane Morton,,,2015,
C1 BANK,Chairman,Sr. Advisor & Director,William H. Sedgeman,Jr.,Chairman & Sr. Advisor-C1 Bank,2015,
C1 BANK,Director,Alex Sink,Director,C1 Bank,2015,Investor,2362074
C1 BANK,EVP,Retail Lending Executive,Corporate Administration,Dustin Symes,EVP,Retail Lending Executive,Corporate Administration
Bank of Camilla,Chairman,Ray T. Muggridge,III,Camilla Builders Supply Inc - Chairman,2019,Banking/Finance,
Bank of Camilla,President,Ray T. Muggridge,III,RTM Associates Inc - Director,2019,Banking/Finance,
Bank of Camilla,Director,Ray T. Muggridge,III,First Camilla Corp - CEO,2019,Banking/Finance,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Partner,2 S Partnership,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Partner,Smith Interests General Partnership,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Partner,GS2 Partnership,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Beneficiary,The William Godfrey Smith Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,The JWS Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,The WGS III Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,The VAS Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,The WHS Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,RHS Irrevocable Insurance Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Co-Trustee,Trebor Irrevocable Trust,2015,
Capital City Bank Group,"Director,Chairman of the Board""",President,"Chief Executive Officer"",William G. Smith Jr.""",Board Member,Southern Company,2015,
Capital City Bank Group,,Estate of Robert H. Smith,,,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Anna T. Barron Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Elizabeth D. Barron,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Rebecca M. Barron,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Anne T. Barron,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Ellen Metler Qtip-il Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Ellen Metler Moose Head Ranch Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Maximilian Mettler Moore Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Melville H. Ireland Spouse's Trust FBO Anne W. Coughlan,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Co-Trustee,Melville H. ireland / Melville H. Ireland Jr. Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Co-Trustee,Melville H. Ireland/Joseph M. Ireland Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",President/Sec./Treas.,"Mettler Sunnyhill of Wyoming,Inc./Mettler LTD""""",2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",VP/Secretary,EL Destino,Inc./El Destino of Jefferson Co. LTD.,2015,
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Kate Ireland Foundation,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Langley Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Kate Ireland Perseverance Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Trustee,Kate Ireland 1985 Trust,2015,,1085509
Capital City Bank Group,"Director,Executive Officer""","Treasurer"",Thomas A. Barron""",Co-Trustee,The Ellen Mettler Residential QTIP Trust,2015,,1085509
Capital City Bank Group,Director,Frederick Carroll III,President,"Carroll and Company,Certified Public Accountants""""",2015,"President,Carroll & Company""","CPA"",1085509"""
Capital City Bank Group,Director,Frederick Carroll III,President,CACURI,Inc.,2015,President
Capital City Bank Group,Director,Frederick Carroll III,Partner,"Lane Smith & Frederick Carroll,III""""",2015,Partner,1085509
Capital City Bank Group,Director,Cader B. Cox,Chairman/Director,Riverview Plantation,Inc.,2015,"CEO,Riverview Plantation"""
Capital City Bank Group,Director,Cader B. Cox,Partner,Plantation PreCooler,2015,"CEO,Riverview Plantation""","Inc."",1085509"""
Capital City Bank Group,Director,Cader B. Cox,Partner,CIII & CIV,LLC,2015,"CEO,Riverview Plantation"""
Capital City Bank Group,Director,Cader B. Cox,Trustee,Agri Trust Self Insured Workers Comp Fund,2015,"CEO,Riverview Plantation""","Inc."",1085509"""
Capital City Bank Group,Director,Cader B. Cox,Board Member,UGA Research Foundation,2015,"CEO,Riverview Plantation""","Inc."",1085509"""
Capital City Bank Group,Director,Cader B. Cox,Board Member,UGA Real Estate Foundation,2015,"CEO,Riverview Plantation""","Inc."",1085509"""
Capital City Bank Group,Executive Vice President Chief Financial Officer,J. Kimbrough Davis,Executive Vice President Chief Financial Officer,Capital City Bank,2015,,1085509
Capital City Bank Group,Director,J. Everitt Drew,President,Georgetown Properties,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Director,SouthGroup Equities,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Director,South Group Holdings,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Director,SouthGroup Development,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Director,Heritage Park Partners,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Director,SouthGroup Management,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,Vice President,South Group Mortgage LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President,Sweetleaf Farm North,LLC,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,Sweetleaf Farm South I,I,III LLC,2015
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,Commonwealth Business Center LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,Northwest Center LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,Northwest Passage LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,John Knox Road 250 LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President/Managing Partner,Hartsfield Service Center LLC,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,President,JEDJLD,LLC,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President,Capital Quad,inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President,Londontown Partners,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,Board Member,Community Foundation of North Florida,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,Board Member,Southeast Community Health Services,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,Board/Committee Member,Tallahassee Memorial Health Ventures,Inc.,2015,President
Capital City Bank Group,Director,J. Everitt Drew,Managing Member,Young Life of Tallahassee,2015,President,SouthGroup Equities
Capital City Bank Group,Director,J. Everitt Drew,Managing Member,Southgroup Acquisitions,LLC,2015,President
Capital City Bank Group,Director,J. Everitt Drew,President/Board Member,Game Products,LLC,2015,President
Capital City Bank Group,Vice President,John K. Humphress,Partner,Wadsworth,Humphress & Hollar,P.A.,2015
Capital City Bank Group,Vice President,John K. Humphress,General Partner,McKinney Family Limited Partnership,2015,"Vice President Wadsworth Humphress Hollar & Konrad,PA""""",1085509
Capital City Bank Group,Director,Lina Knox,Trustee,Smith Interests General Partnership,2015,Chartered Certified Public Accountants,1085509
Capital City Bank Group,Director,Henry Lewis III,President,Tuskegee Homes,LLC,2015,Community Volunteer
Capital City Bank Group,President,CEO,Allan Bense,President/CEO,Bense Enterprises,Inc.,2015
Capital City Bank Group,President,CEO,Allan Bense,Managing Partner,Bense Investments,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Managing Partner,Bense Properties,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Managing Partner,Bense Corporate Holdings,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Partner,Bay West Developers,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Partner,Brown Insurance Services,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Stockholder,Econfina Timber Company,2015,
Capital City Bank Group,President,CEO,Allan Bense,President,GAC Contractors,Inc. & Affiliates,2015
Capital City Bank Group,President,CEO,Allan Bense,President,Holiday Golf & Racquet Club,Inc.,2015
Capital City Bank Group,President,CEO,Allan Bense,Stockholder,"Roussos Refrigeration,Heating & Air""""",2015,
Capital City Bank Group,President,CEO,Allan Bense,Secretary,T.D.W. Inc.,2015,
Capital City Bank Group,President,CEO,Allan Bense,Partner,Bense Farms,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Partner,Emerald Coast Striping,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Partner,"Emerald Coast Investment Properities,LLC""""",2015,
Capital City Bank Group,President,CEO,Allan Bense,Partner,Bayou George Farms,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Partner,"Bass,Bense""","Hall & Bozarth"",2015""",
Capital City Bank Group,President,CEO,Allan Bense,Director,Gulf Power Company,2015,
Capital City Bank Group,President,CEO,Allan Bense,Director,Capital City Bank Group,2015,
Capital City Bank Group,President,CEO,Allan Bense,Board Member,Florida State University,2015,
Capital City Bank Group,President,CEO,Allan Bense,Director/Past Chairman,James Madison Institute,2015,
Capital City Bank Group,President,CEO,Allan Bense,Director/Chairman,Bay Economic Development Council,2015,
Capital City Bank Group,President,CEO,Allan Bense,Director/Past Chairman,Florida Chamber of Commerce,2015,
Capital City Bank Group,President,CEO,Allan Bense,Director,Gulf Coast Medical Center,2015,
Capital City Bank Group,President,CEO,Allan Bense,Trustee,Robert Starr Johnson Trust,2015,
Capital City Bank Group,President,CEO,Allan Bense,Managing Partner,Woodland Heights Associates,LLC,2015
Capital City Bank Group,President,CEO,Allan Bense,Chairman/Board Member,Triumph Gulf Coast,Inc.,2015
Capital City Bank Group,Executive Vice President,Beth Corum,Executive Vice President,Capital City Bank,2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,Executive Vice President,Brooke Hallock,Executive Vice President,Capital City Bank,2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,President,William L. Moor,Jr.,Managing Partner,Moor Family Partnership,LLP,2015
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,Adiron,LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,Bull Run Residential,LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,"Tupelo Development Company,LLC""""",2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,Crockett Mountain,LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,BLRD 13 LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,CSLLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,Tupelo Plus Two,LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,Ghost Investments,LLC,2015,Designated an Executive Officer by virtue of position with Capital City Bank
Capital City Bank Group,Executive Vice President,Edward G. Canup,Member,"North Hampton Dixie Property,LLC""""",2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
Capital City Bank Group,Executive Vice President,Dale A. Thompson,Executive Vice President,Capital City Bank,2015,Designated an Executive Officer by virtue of position with Capital City Bank,1085509
